Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1585.3401607574885
FDW14,OUT017,1436.9383689751153
NCN55,OUT010,551.9402956456705
FDQ58,OUT017,2541.466623304954
FDY38,OUT027,5471.362603549637
FDH56,OUT046,1941.6117485669183
FDL48,OUT018,666.7962515222601
FDC48,OUT027,2391.701653327018
FDN33,OUT045,1517.7300286106545
FDA36,OUT017,3097.4996788451363
FDT44,OUT017,1968.5419913480248
FDQ56,OUT045,1435.385061815694
NCC54,OUT019,551.9402956456705
FDU11,OUT049,2001.46682294807
DRL59,OUT013,930.5249079556587
FDM24,OUT049,2500.9959749385675
FDI57,OUT045,3150.7267772113246
DRC12,OUT018,3101.337532921498
NCM42,OUT027,2897.1312683741235
FDA46,OUT010,551.9402956456705
FDA31,OUT013,2894.9770819902133
NCJ31,OUT035,4021.3440036202974
FDG52,OUT046,759.069036964611
NCL19,OUT019,276.14030994567247
FDS10,OUT035,3010.750944092411
FDX22,OUT010,551.9402956456705
NCF19,OUT035,698.5611924405649
NCE06,OUT046,2601.9717073205193
DRC27,OUT046,4095.978889839227
FDE21,OUT035,1936.3399143519398
NCR42,OUT019,262.6753032070158
FDX51,OUT018,3106.726997790087
NCR06,OUT018,632.9628792526573
FDU31,OUT027,5470.970811322239
FDU59,OUT017,2604.4928094599136
FDR03,OUT027,5470.970811322239
FDS49,OUT027,2329.1930877301415
FDD48,OUT010,267.0027064023332
NCF18,OUT017,3101.191796585948
NCD43,OUT027,2892.6100569077116
NCD54,OUT018,2143.5764809229236
FDY19,OUT010,267.54477522797225
NCY54,OUT017,2881.20626858563
NCL19,OUT018,2449.3397774174605
FDP23,OUT010,551.9402956456705
FDC26,OUT013,1719.231506826409
FDR14,OUT010,331.6054365013539
NCS41,OUT035,3092.5322422225413
FDF41,OUT035,4068.8456128664366
FDU34,OUT046,2012.6062941508342
DRH11,OUT046,976.1200061212999
FDM03,OUT013,1597.5875651443725
FDS31,OUT017,3053.5102060477525
FDJ20,OUT017,2001.46682294807
FDV44,OUT027,5443.901703226655
FDG02,OUT049,3101.191796585948
FDA09,OUT013,2952.327067761811
FDT04,OUT013,740.9364997823958
FDL58,OUT019,551.9402956456705
FDE52,OUT045,1458.539406032214
FDW12,OUT035,2446.1098231580186
FDL51,OUT017,3408.3748717888648
NCY42,OUT027,3001.2362022739426
FDR07,OUT017,1520.1619316846184
